"index"	"name_anchor"	"year_end"	"title"	"data"	"stress_pattern"	"metre"	"IPA"
17913	"Батеньков"	1815		"В стране Борея вечно льдистой,"	"010101010"	"Я4ж"	"v strɐnʲˈe bɐrʲˈejə vʲˈet͡ɕnə lʲdʲˈistəj,"
17913	"Батеньков"	1815		"Где нет движенья веществу,"	"01010001"	"Я4м"	"ɡdʲe nʲˈet dvʲɪʐˈɛnʲjə vʲɪɕːɪstvˈu,"
17913	"Батеньков"	1815		"Где магнетизм владеет чистый,—"	"000101010"	"Я4ж"	"ɡdʲe məɡnʲɪtʲˈizm vlɐdʲˈejᵻt t͡ɕ'ˈistᵻj,—"
17913	"Батеньков"	1815		"Все смерти дань, как божеству;"	"01010001"	"Я4м"	"fsʲe smʲˈertʲɪ dˈanʲ, kak bəʐᵻstvˈu;"
17913	"Батеньков"	1815		"Где солнце полгода сияет;"	"010010010"	"Аф3ж"	"ɡdʲe sˈont͡sᵻ pɐlɡˈodə sʲɪjˈajᵻt;"
17913	"Батеньков"	1815		"Но косо падая на льдах,"	"01010001"	"Я4м"	"no kˈosə pˈadəjə na lʲdˈax,"
17913	"Батеньков"	1815		"Луч яркий в радужных цветах"	"01010001"	"Я4м"	"lʊt͡ɕ jˈarkʲɪj v rˈadʊʐnᵻx t͡svʲɪtˈax"
17913	"Батеньков"	1815		"Скользит — и тотчас замерзает, —"	"010100010"	"Я4ж"	"skɐlʲzʲˈit — ɪ tˈot͡ɕ':əs zəmʲɪrzˈajᵻt, —"
17913	"Батеньков"	1815		"Из водок, спиртов, вин и пунша разных токов,"	"0101010101010"	"Я6ж"	"ɪs vˈodək, spʲˈirtəf, vʲˈin ɪ pˈunʂə rˈaznᵻx tˈokəf,"
17913	"Батеньков"	1815		"Меркурьев дульцисов и хины горьких соков"	"0101000101010"	"Я6ж"	"mʲɪrkˈurʲjᵻf dˈulʲt͡sᵻsəf ɪ xʲˈinᵻ ɡˈorʲkʲɪx sˈokəf"
